Nats Rank,State,School,UT-Austin,Rickards,Palatine,Boyceville,Seven Lakes,Dick Smith,Raymond Park,BirdSO Mini,Fairfax,Westlake,SONI,Camas,Rice,Carnegie-Mellon,Solon IP,Solon Sat,SOLVI,UC Davis,Duke,Ohio State,MIT,UChicago,North Pocono IP,North Pocono Sat,Cornell,High Desert,SOAPS,Princeton,Mentor,Yale,San Marino,Golden Gate,BirdSO Sat,UMSO,SOUP,Northwestern,Mt. Vernon,LA Tech,Mason,Louisville,Lexington
,NJ,"Montgomery H.S. Skillman, NJ",,,,,,,,,,,14.99773176,,,,,,,,,,36.73220257,,,,,26.9094527,4.751187461,,,28.79080255,,,,,61.30813257,,,,,,
15,MI,Northville H.S. MI,,,,,,,,,,,39.38409174,,,,,39.16381873,,,,,,,,,,,,,,,,,,47.64187078,,,,,,,
,CA,"Glen A. Wilson H.S. Hacienda Heights, CA",,,,26.12516914,,,,17.61759918,,,35.10198734,,,,,,,25.81136156,,,,,,,,,,,,,,33.42096818,41.72273795,,,,,,51.6102397,,
,IN,"Munster H.S. Munster, IN",,,26.64491927,24.4684511,,,,,,,37.63234533,,,,,42.29692423,,,,,,,,,,,,,,,,,,43.18178075,,,,,,,
16,MI,Saline H.S. MI,,,,,,,,,,15.99670104,29.27958133,,,,48.0847115,,,,,,,,,,,,,3.624395237,,,,,,43.92951722,,,,,,,
,CA,Lynbrook H.S. CA,,,,,,,,,,,,,,,,,,,,,40.06231984,,,,,,,39.56313537,,,,44.18577442,,,,,,,,,
17,WA,"Tesla STEM H.S. Redmond, WA",,,,15.77368703,,,,42.74182757,,,37.63234533,26.54365048,,,,,,,,,,,,,,,,,,,,,26.12443331,,,,,,,,
18,NY,"The Bronx H.S. of Science New York, NY",,,,,,,,16.9201727,,,,,,,,,,,,19.74998964,,,,,,,,,,2.449637612,,,28.18785822,,,,,,,,49.46800111
19,VA,"TJHSST Alexandria, VA",,,,,,,,29.69975934,,,23.0171568,,,,,,,,,,,,,,,,,,,,,,45.94296892,,,,,,,,
20,PA,"Harriton H.S. Bryn Mawr, PA",,,,,,36.65433916,,,,,,,,,,,,,,,33.52341246,,,,,,,6.90900342,,,,,,,30.65406628,,,,,,
,MI,Pioneer H.S. MI,,,,,,,,,,,34.75395064,,,,,,,,,,,,,,,,,,,,,,,44.12051512,,,,,,,
,OH,Centerville H.S. OH,,,,,,,,,,32.96486166,,,,,,22.02964804,,,,32.14941922,,,,,,,,,38.14560263,,,,,,,,,,,,
,MI,Troy H.S. MI,,,,,,,,,,,,,,,,41.63083094,,,,,,,,,,,,,,,,,,41.58901015,,,,,,,
,NY,Great Neck South H.S. NY,,,,,,,,13.35682111,,,,,,,,,,,,,,,,,,,,,,,,,40.78610506,,32.90096119,,,,,,
,IN,Lake Central H.S. IN,,,8.961081973,,,,,,,,15.65812965,,,,,,,,,,,,,,,,,,,,,,,45.71044359,,,,,,,
,OH,Beachwood H.S. OH,,,,,,,,,,23.0009063,,,,,28.22635013,,,,,28.50581838,,,,,,,,,35.26668922,,,,,29.58518506,,,,,,,
,CA,"Temple City H.S. Temple City, CA",,,,,,,,12.52308324,,,30.98016307,,,,,,,,,,,,,,,,,,,,32.51813173,,,,,,,,36.63315053,,
21,GA,Chattahoochee H.S. GA,,21.85722876,,,,,,19.38978371,,,,,,,,31.65937442,,,,,,,,,,,,,,,,27.62904396,,,,31.68513122,,,,,
22,GA,"Brookwood H.S. Snellville, GA",,,,17.88246872,,,,,,,,,,,,,,,,,,19.92149284,,,,,,,,,,,41.20658037,,,,,,,,
,OH,"Westlake H.S. Westlake, OH",,,,17.44706948,,,7.387893885,,,,,,,,20.42696391,,,,,,,,,,1.369261713,,21.35479956,,41.07987975,,,,,,,,,,,,
,CA,"Canyon Crest Academy San Diego, CA",,,,,,,,,,,,,,,,,,31.25457387,,,,,,,,,,,,,,40.82215145,,,,,,,,,
,PA,"Lower Merion H.S. Ardmore, PA",,,,,,,,18.79659721,,,,,,,,17.22187469,,,,,,,,,,18.15118743,,17.32026664,,,,,22.48053035,,26.62747283,,,,,,
,MI,"Athens H.S. Troy, MI",,,,,,,,,,,,,,,,22.30850434,,,,,,,,,,,,,,,,,,36.2418517,,,,,30.42818692,,
23,KY,duPont Manual H.S. KY,,,,,,,,16.32993412,,,15.50966445,,,,33.03083525,,,,,15.05588999,,,,,,,,,,,,20.73392227,17.06677325,,,,,,,30.02619952,
,WA,"Bothell H.S. Bothell, WA",,,,25.78937005,,,,14.80515112,,,21.13375465,20.54992295,,,,,,,,,24.59137339,,,,,,,,,,,23.54810732,32.13053293,,,,,,,,
24,NC,"NCSSM Durham, NC",,,,,,,,,,,,,,,,,,,35.8167705,,,,,,,,,,,,,,,,,,,,,,
,OH,Northview H.S. OH,,,,,,,,,,,,,,,35.0553058,,,,,,,,,,,,,,,,,,,33.27120812,,,,,,,
,NY,"Chaminade H.S. Mineola, NY",,,,9.992096565,,,,,,35.40139491,,,,,,,,,10.70609988,,,,23.24897329,,,,,,,,,,,,26.97031583,,,,,,
25,TX,Jordan H.S. TX,20.32584289,,,,26.78289926,,,,,,23.47970254,,19.76797028,,,,,,,,,,,,,,,,,,,,30.60519369,,,,,,,,
,OH,Kenston H.S. OH,,,,,,,,,,23.73854469,,,,,24.86760824,,,,,22.04058122,,,,,,,,,31.02297973,,,,,,,,,,,,
,CA,Monta Vista H.S. CA,,,,,,,,,,,11.50318291,,,,,,,29.45142537,,,,,,,,,,,,,,18.23431494,30.98479299,,,,,,,,
,OH,Springfield H.S. OH,,,,,,,,,,22.68055942,,,,,27.58158578,,,,,,,,,,,,,,28.21335138,,,,,15.033657,,,,,,,
,MA,Belmont Public H.S. MA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.68446055
26,HI,"Iolani School Honolulu, HI",,,,,,,,18.20485248,,,4.715796493,,,,,10.12857381,,,1.96697192,,22.78544441,,,,,,,,,2.449637612,,16.66327933,,,,,,,,,
,TX,LASA TX,9.835085267,,,,16.03947639,,,,,,10.24479714,,11.51699138,,,,,,,,22.3660804,,,,,,,,,,,23.78548744,,,,,,,,,
,CA,"Portola H.S. Irvine, CA",,18.42415618,,16.338868,,,,,,,11.06234858,,,,,,,,,,,,,,,,,,,2.449637612,,25.3711866,,,,,,,31.24231901,,
27,NV,"Ed W. Clark H.S. Las Vegas, NV",,,,,9.891941888,,,,,,13.65402847,,,,,,28.42183896,,,,,,,,,,21.12762084,,,,,,15.78609122,,,,,,,,
,OH,St. Edward H.S. OH,,,,,,,,,,27.32322426,,,,,21.99826882,,,,,25.07843259,,,,,,,,,18.28004429,,,,,,,,,,,,
,OH,Mayfield H.S. OH,,,,,,,,,,13.39197505,,,,,18.17248294,,,,,17.03534963,,,,,,,,,31.41402569,,,,,,,16.77448123,,,23.64924908,,
,NY,"Staten Island Technical H.S. New York, NY",,,,,,,,18.47860966,,,,,,,,,,,,,,,,,,,,,,,,,14.54526309,,33.9680194,,,,,,
,NY,"Syosset H.S. Syosset, NY",,,,15.36303974,,,,22.86190777,,,,,,,,,,,,,21.25755746,,,,,30.78441389,,,,,,,,,,4.375951626,,,,,
,CA,"Arcadia H.S. Arcadia, CA",,8.819583534,,23.54944824,,,,13.54079937,,,,,,,,,,,20.95662104,,,,,,,11.08948627,,,,,21.32336507,,,,,,,,23.76960149,,
,OH,New Albany H.S. OH,,,,,,,,,,20.98536296,7.749933403,,,,,,,,,17.81613648,,,,,,7.950520115,,,,,,,16.8509203,,,20.36901293,,,27.96842331,,
,PA,"Bayard Rustin H.S. West Chester, PA",,,,,,7.537147662,,,,,,,,,20.46543277,,,,,,,,26.36267507,,,,,12.12418665,,,,,,,25.39023672,,,,,,
,NY,"Stuyvesant H.S. New York, NY",,9.588593543,,,,,,17.52338742,,,,,,,,,,,14.48472336,,,,,,,22.11523986,,,,28.79080255,,,,,,,,,,,
,NJ,"South Brunswick H.S. South Brunswick, NJ",,,,,,,,13.71076756,,,,,,,,,,,,,,,,,,19.3369434,,27.63601368,,19.93209408,,,,,17.45578774,,,,,,
,GA,"South Forsyth H.S. Cumming, GA",,,,19.63222104,,,,,,,,,,,,,12.10559807,,,,,,,,,,,,,,,,23.59526739,,,,,,26.02076152,,
,WA,"Camas H.S. Camas, WA",,,,6.38578291,,,,11.78731456,,,18.7873577,21.71753221,,,,,,,,,18.67181104,,,,,7.021992219,,,,,,19.53245326,21.283484,,,,,,,,
,CA,"Milpitas H.S. Milpitas, CA",,,,13.23491418,,,,,,,18.25616753,,,,,,,14.31284224,,,,,,,,,,,,,,19.53245326,16.46226646,,,27.59672719,,,,,
,CA,"Castro Valley H.S. Castro Valley, CA",,,,,,,,13.82647024,,,,,,,,,,13.63330077,,,,,,,22.0860136,,,,,,,24.17541346,,,,,,,,,21.70897891
,TX,Stephen F. Austin H.S. TX,,,,,17.20598377,,,,,,21.54195711,,5.074536433,,,,,,,,,,,,,,,,,,,,,,,,,,29.19204183,,
,NY,"Brooklyn Technical H.S. New York, NY",,9.968877706,,12.49323157,,,,10.77918897,,,,,,,,,,,,27.40944075,,,,,,,,,,,,,25.88755373,,13.05105626,,,,,,
28,FL,Boca Raton Community H.S. FL,,,,,,,,,,,22.63495309,,,,,24.03234331,,,,,22.1958667,,,,,,,,,,,,,,,,,,,,
,NJ,John P. Stevens H.S. NJ,,,,,,,,3.614198655,,,,,,,,,,,,,,,,,,16.44466554,,17.72876349,,2.449637612,,,29.69567828,,,,,,,,
29,FL,Archimedean Upper Conservatory FL,,16.0685563,,,,,,,,,15.92231613,,,,,,,,14.02079984,,27.82955042,,,,,,,15.34080759,,,,,,,,,,,,,
30,MD,"Centennial H.S. Ellicott City, MD",,,,,,,,,,,,,,,,,,,,,16.85859471,,,,,,,15.99360792,,,,,,,23.58005099,,,,,,
,NV,"Davidson Academy Reno, NV",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.2409071,,,,,29.29658318
,IL,Naperville North H.S. IL,,,14.90846673,,,,,24.15385833,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.61372883,,,,,
31,MO,Ladue Horton Watkins H.S. MO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CA,"Northwood H.S. Irvine, CA",,7.346584197,,,,,,,,,24.85946216,,,,,,,,,,,,,,,,,,,,,25.3711866,4.827340937,,,,,,,,
,NJ,Hillsborough H.S. NJ,,14.30493427,,11.3742233,,,,20.48045904,,,4.319008828,,,,,,,,,,19.9489527,,,,,11.66076284,,20.31620465,,,,,15.43258029,,,,,,,,
,OH,Northmont H.S. OH,,,,,,,6.021639537,,,17.28730537,,,,,19.72258584,,,,,15.66253757,,,,,,,,,20.76816143,,,,,,,,,,15.0184138,,
,CA,"Diamond Bar H.S. Diamond Bar, CA",,,,,,,,,,,25.45258211,,,,,,,,1.488981389,,,,,,,,,,,,,,22.35480031,,,,,,,,
,PA,"Athens Area H.S. Athens, PA",,,,,,9.726710112,,,,,,,,,,,,,,,,,19.29816737,,,,23.64281379,,,,,,,,16.4504806,,,,,,
32,VA,"Fairfax H.S. Fairfax, VA",,,,8.304689529,,,,,,,,,,,,,,,6.985540345,,,,,,,,,,,,,,,,25.8073248,,,,,,
,NY,Mount Academy NY,,,,,,,,,,,,,,10.02390557,,,,,,,,,25.45361731,,,,,,,9.365682759,,,,,,,,,,,
,CA,"Orange County School of the Arts Santa Ana, CA",,,,,,,,18.17120211,,,19.2895355,,,,,,,,,,,,,,,,,,,,,,20.60329019,,,,,,,,
,FL,James S. Rickards H.S. FL,15.90718139,3.884121225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.20747369,,,,,,,,
,NY,Columbia H.S. NY,,,,,,,,,,,16.3575261,,,,,,,,,,,,19.425129,,,,,,,,,,,,20.87735411,,,,,,
,OH,Sylvania Southview H.S. OH,,,,,,,,,,,,,,,23.62422782,,,,,,,,,,,,,,,,,,,,,,,,20.53066678,,
,NY,Townsend Harris H.S. NY,,,,,,,,12.63575879,,,,,,,,,7.400403351,,11.12950496,,,,,,,13.69413429,,,,11.10502384,,,,,,,,,,,
,CA,American H.S. CA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.27712707,,,,,,,24.64763426,,
,VA,"Lake Braddock Secondary Burke, VA",,,,,,,,,2.647520773,,9.189621406,,,,,15.68877012,6.206034456,,,,15.36636925,,,,,6.544305673,,,,5.436025657,,,11.54546013,,,13.08101748,,,,,21.86629035
,NJ,"Middlesex County Academy for Science, Mathematics and Engineering Technologies NJ",,,,9.384532228,,,,13.59698526,,,,,,12.27417009,,,,,,,16.9369157,,,,,,,15.79200782,,,,,,,20.10906748,,,,,,
,OH,Mentor H.S. OH,,,,,,7.586410065,,,,17.73926107,,,,,21.69090778,,,,,,,,,,,,,,,,,,,,,15.00874637,,,,,
,TX,William P. Clements H.S. TX,,,,,16.03947639,,,,,,,,,,,,,,,,23.90604003,,,,,,,,,,,,,,,,,,,,
,OH,Rocky River H.S. OH,,,,,,,,,,12.31818582,,,,,19.16604021,,,,,,,,,,,,,,21.67112497,,,,,,,,,,,,
,OH,Hudson H.S. OH,,,,2.643495376,,,,,,14.3603542,,,,,19.3710246,,,,,,,,,,,,,,19.52098725,,,,,,,,,,,,
,MI,East Grand Rapids H.S. MI,,,,,,,,,,,13.15618721,,,,22.83013613,,,,,,,,,,,,,,,,,,,15.56398539,,,,,,,
,MD,"Walter Johnson H.S. Bethesda, MD",,,,,,,,,3.06060912,,,,,,,,,,,,,,,,,,,8.522670885,,,,,,,,22.51311955,,,,,
,OH,Medina H.S. OH,,,,,,,,,,13.63872836,,,,,16.6674,,,,,,,,,,,,,,20.04433811,,,,,,,,,,,,
,CA,Amador Valley H.S. CA,,,,,,,,,,,,,,,,,,,,,,,,,1.369261713,,,,,,,,21.91358715,,,,,,,,
,NJ,East Brunswick H.S. NJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.88623207,,,,,,,18.98514679,,,,,,
,TX,Texas Academy of Mathematics and Science TX,10.57413792,2.192531981,,,12.78823118,,,,,,,,8.38262031,,,,,,,,,2.111245165,,,,,,,,,,,,,,,,,21.37632354,,
,FL,Orlando Science H.S. FL,,,,15.43394608,,,,,,,13.90946097,,,,,,,,,,18.9385512,,,,,,,,,,,,,,,,,,,,
,CA,"Gretchen Whitney H.S. Cerritos, CA",,,,,,,,15.33638119,,,21.09741114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MI,Okemos H.S. MI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.96636049,,,,,,,
,CA,"Homestead H.S. Cupertino, CA",,5.085280101,,,,,,,,,7.794246872,,,,,,,,,,,,,,,,,,,,,12.23817611,8.811812822,,,,,,,,20.95519492
,NJ,Princeton Day School NJ,,,,,,,,,,,,,,,,,,,9.077983306,15.18960127,,,,,,,,10.49859738,,,,,,,20.01300506,,,,,,
,MI,"East Lansing H.S. East Lansing, MI",,,,10.36370346,,,,7.597079088,,,,,,,,,,,,,,,,,,,,,,,,,,20.88007917,,,,,,,
,IN,Northridge H.S. IN,,,,,,8.174089718,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.83720426,,,,,,,
,IN,John Adams H.S. IN,,,,,,,,,,,12.90704322,,,,,,,,,,,,,,,,,,,,,,,20.75198053,,,,,,,
33,NE,"Lincoln Southwest H.S. Lincoln, NE",,,,,,,3.733160817,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.66813745
34,CO,"Homeschool Science Colorado El Paso, CO",,,2.960546586,5.041238669,,,,,,15.05050061,,,,,,,,,,,,,,,,,,,,,,,11.91012603,,,,,,,,
,NY,Hunter College H.S. NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.33684009,,,,,,
,PA,"North Pocono H.S. Covington Township, PA",,,,,,8.860463664,,,,15.59831577,,,,,,,,,,,,,,,,,4.751187461,,,,,,,14.77106037,15.53543532,,,,,,
,MI,"Hudsonville H.S. Hudsonville, MI",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.2549271,,,,,,,
,MI,Brighton H.S. MI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.2549271,,,,,,,
,CA,Albany H.S. CA,,,,,,,,,,,,,,,,,,17.01637911,,,,,,,,,,,,,,18.60820468,,,,,,,,,
,NY,"Ithaca H.S. Ithaca, NY",,,,,,,,,,12.45003185,,,,,17.90303921,,,,,,,,14.68964979,,,,,,,,,,,,,,,,,,
,OH,Copley H.S. OH,,,,,,,,,,13.11162775,,,,,,,,,,,,,,,,,,,19.88440988,,,,,,,,,,,,
,MD,Marriotts Ridge H.S. MD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.51578754,,,,,,
,MI,Canton H.S. MI,,,,,,,,6.412668193,,,,,,,,,,,,,,,,,,,,,,,,,,19.44007371,,,,,,,
,CA,"Irvington H.S. Fremont, CA",,,,10.67240952,,,,,,,,,,,,,,14.26839242,,,,,,,,,,,,,,18.54968832,,,,,,,,,
,MI,Novi H.S. MI,,,,3.493058827,,,,6.48885831,,,9.783209392,,,,,,,,,7.38492704,,,,,,,,,,,,,,17.67895205,,,,,15.7263525,,
,CA,"BASIS Independent Silicon Valley San Jose, CA",,,,,,,,14.52085722,,,,,,,,,,15.68062238,,,,,,,,,,,,,,13.15228737,,,,8.641399424,,,,,
,NY,Jericho H.S. NY,,,,,,,,19.12572051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,MN,Eden Prairie H.S. MN,,,,10.40670638,,,,,,,17.29125381,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,KS,"Blue Valley West H.S. Overland Park, KS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.493494042,,,,,,,,
,CA,Mira Loma H.S. CA,,,,,,,,,,,10.67259206,,,,,,,13.51300694,,,,,,,,,,,,,,17.92948597,,,,,,,,,
,OH,St. Ignatius H.S. OH,,,,,,,,,,8.037829052,,,,,14.52826845,,,,,,,,,,,,,,18.64473345,,,,,,,,,,,,
,NJ,Princeton H.S. NJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.73856532,,,,,,,18.59196328,,,,,,
,NY,"Scarsdale H.S. Scarsdale, NY",,,,7.503414324,,5.212817695,,,,18.46331254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CA,Mountain House H.S. CA,,,,,,,,,,,11.13261758,,,,,,,10.73463168,,,,,,,,,,,,,,18.40499496,,,,,,,,,
,KS,"Blue Valley North H.S. Overland Park, KS",,,,,,8.493078585,,,,,,,,,,,9.272372993,,,,,,,,,,,,,,,,18.36874217,,,,,,,,
37,RI,Barrington H.S. RI,,,,,,,,,,,10.6309745,,,,,,,,,,15.61315248,,,,,,,,,,,,4.827340937,,,,,,,,
,PA,Garnet Valley H.S. PA,,,,,,,,,,,,,,,,,,,,16.38265424,,,,,,,,,,,,,,,16.38613713,,,,,,
,NY,Bethlehem Central H.S. NY,,,,,,,,,,,,,,,,,,,,,15.98978555,,,,,,,,,,,,4.827340937,,,,,,16.71100784,,
,CA,"Rancho Bernardo H.S. San Diego, CA",,,,,,,,11.32559947,,,,,,,,,,,,10.66302433,,,,,,,,,,,,,,,,,,,18.20946079,,
,OH,Archbishop Hoban H.S. OH,,,,,,,,,,,,,,,14.50887156,,,,,,,,,,,,,,17.84376638,,,,,,,,,,,,
,OH,Revere H.S. OH,,,,,,,,,,13.91849715,,,,,13.55005586,,,,,,,,,,,,,,12.6720985,,,,,,,8.572129689,,,,,
,CA,"Dublin H.S. Dublin, CA",,,,,,,,10.51403245,,,11.73985127,,,,,,,10.88725677,,,15.253854,,,,,,,,,,,,,,,,,,,,
,IL,IMSA IL,,,10.86604083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.78583249,,,,,
,NY,Fayetteville-Manlius H.S. NY,,4.755424095,,,,,,8.691972007,,,,,,12.52988196,,,,,,,,,,,,,,,,7.522758087,,,17.31819019,,,,,,,,
,WI,Menomonie H.S. WI,,,,17.35651376,,,,,,,14.00473125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,IL,University of Chicago Laboratory Schools H.S. IL,,,,,,,,,,,,,,,,,,,,,,17.52492227,,,,,,,,,,,,,,,,,,,
,IL,Whitney M. Young Magnet H.S. IL,,,,,,,,,,5.709902405,,,,,,,,,,,,10.4054226,,,,,,,,,,,17.40870338,,,,,,,,
,PA,"Penncrest H.S. Media, PA",,,,,,5.580388173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.38335709,,,,,,
38,DE,Charter School of Wilmington DE,,,,,,,,12.42809145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,AL,"Auburn H.S. Auburn, AL",,,,,,,,,,,,,,,,,,,,,12.36868908,,,,,,,,,,,,,,,,,,,,
,MD,"River Hill H.S. Clarksville, MD",,,,,,,,11.3780328,,,,,,,,,,,,12.55762924,,,,,,12.82683912,,,,,,,,,,10.43290906,,,,,
,MI,"Holt H.S. Holt, MI",,,,8.508960943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.14141635,,,,,,,
,NJ,Livingston H.S. NJ,,,,,,,,,,,,,,,,,,,,7.429839716,,,,,,,,12.00798038,,,,,12.3289275,,14.1374209,,,,,,
,MA,Belmont H.S. MA,,,,,,,,,,,,,,,,,,,,,17.07574288,,,,,,,,,,,,11.18991684,,,,,,,,
,CA,"North Hollywood H.S. North Hollywood, CA",,,,,,,,16.43916445,,,13.97282981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GA,"Walton H.S. Marietta, GA",,7.768242451,,15.0180613,,,,,,,,,,,,,,,14.8673387,,,,,,,,,,,,,,,,,,,,,,
,CA,Evergreen Valley H.S. CA,,,,,,,,,,,,,,,,,,13.71469361,,,,,,,,,,,,,,7.202443082,,,,16.23336894,,,,,
40,TN,White Station H.S. TN,,,,,,,,,,,,,,,,,15.02763899,,,,,,,,,,,,,,,,,,,,,,,,
,CA,"Valencia H.S. Placentia, CA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.61634052,,,,,,,,,
41,WV,"Cabell Midland H.S. Ona, WV",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.39971776
,MI,International Academy Central MI,,,,,,,,,,,,,,,14.60637742,,,,,,,,,,,,,,,,,,,14.51747994,,,,,,,
,CA,"Great Oak H.S. Temecula, CA",,,,,,,9.352759281,,,,,,,,,,13.85941264,,,,,,,,13.08171575,,,,,,,,,,,,,,,,
42,AZ,Catalina Foothills H.S. AZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MI,Eisenhower H.S. MI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.90551485,,,,,,,
,MI,Huron H.S. MI,,,,,,,,,,,,,,,,,,,,13.07606348,,,,,,,,,,,,,,15.21397073,,,,,,,
,TX,Carnegie Vanguard H.S. TX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.827340937,,,,,,15.7263525,,
,CA,"West H.S. Torrance, CA",,,,,,,,,,,,,,,,,15.32114756,,,,,,,,,,,,,,,,12.57721301,,,,,,,,
,FL,F.W. Buchholz H.S. FL,,10.76151018,,,,,,11.93036449,,,13.12803058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TX,St. John's School TX,8.315117544,,,,13.2662959,,,,,,,,11.41770697,,,,,,,,,,,,,,,8.991621676,,,,,,,,,,,,,
